ID,orderNo,orderDate,status,totalAmount,currency_code
802a246a-bfe3-4811-9a55-949327d0ad8d,ORD-00144,2026-03-30T15:05:00.000Z,delivered,63.45,USD
597507f7-f18f-4212-aa9d-70c11dc9b0c8,ORD-00164,2026-03-31T10:40:00.000Z,delivered,67.95,USD
49b8a4e5-2302-4f66-b3dd-2a9918f0855c,ORD-00157,2026-04-01T11:37:00.000Z,delivered,60.94,USD
c3aaf71f-71cf-4f73-8a12-ab9ae87aee7e,ORD-00037,2026-04-01T15:17:00.000Z,delivered,31.47,USD
db3fa6a4-77af-42b3-84de-3cce2d3a2f45,ORD-00035,2026-04-01T15:24:00.000Z,delivered,24.97,USD
2fc33536-125c-46e9-a88a-a9d077a82a47,ORD-00160,2026-04-02T09:57:00.000Z,delivered,11.98,USD
9d5e11d3-7f67-4f6c-96e8-3d792241082f,ORD-00075,2026-04-02T11:27:00.000Z,delivered,106.90,USD
f22438a5-4a4d-4de0-ba56-fcbe2d758124,ORD-00061,2026-04-02T14:52:00.000Z,delivered,74.93,USD
b7482e5e-f0c8-43ac-9e2c-63ab54fe3304,ORD-00078,2026-04-02T20:08:00.000Z,delivered,153.39,USD
08946eba-0898-476f-94be-8dc840765a47,ORD-00095,2026-04-03T15:38:00.000Z,delivered,19.48,USD
b9380f6c-f9fd-415a-bc89-e0d244e3a860,ORD-00112,2026-04-04T09:06:00.000Z,delivered,37.47,USD
f4654715-5cf0-4f4b-9e4c-51c7e6638c8e,ORD-00131,2026-04-04T10:29:00.000Z,delivered,84.43,USD
c4ccdcc3-b8db-403f-b667-0e31107360af,ORD-00145,2026-04-04T12:09:00.000Z,delivered,52.46,USD
65384192-a790-48cd-9225-ef08e927d7a0,ORD-00065,2026-04-04T14:36:00.000Z,delivered,94.41,USD
768ff558-5650-40b0-a16b-60880d314107,ORD-00104,2026-04-04T14:44:00.000Z,delivered,84.42,USD
b566a130-997b-489f-92fe-4c2c878318f0,ORD-00110,2026-04-04T15:58:00.000Z,delivered,90.92,USD
5a990934-66dd-49e2-add1-d2099d5a99bf,ORD-00008,2026-04-04T17:56:00.000Z,delivered,39.96,USD
fe9adc87-46ba-4a8f-8ec3-0342ce58994b,ORD-00122,2026-04-04T19:01:00.000Z,delivered,14.97,USD
bba0b61b-7ab2-4e87-aa22-571087c5c888,ORD-00051,2026-04-04T20:38:00.000Z,delivered,92.43,USD
6fbfd572-3001-48e6-ae90-0e94fec2ed77,ORD-00102,2026-04-04T20:45:00.000Z,delivered,44.95,USD
6a9dccda-738d-44c9-90a6-6e898aceb0ad,ORD-00109,2026-04-05T18:16:00.000Z,delivered,39.95,USD
3bd102b3-9633-4662-bb7c-42be356d39b9,ORD-00129,2026-04-05T21:33:00.000Z,delivered,23.98,USD
cd85b2ec-4dda-42b9-98b0-8076bab6d06a,ORD-00076,2026-04-06T04:12:00.000Z,delivered,49.46,USD
91cb7f19-b5db-4b2f-ad36-5db1634d8993,ORD-00172,2026-04-06T13:54:00.000Z,delivered,52.44,USD
858c99f4-64a2-4a42-bf61-64bd2a59ba64,ORD-00026,2026-04-06T15:59:00.000Z,delivered,90.93,USD
bf2209ea-2301-4877-8f38-6f1400c37c0a,ORD-00083,2026-04-06T19:06:00.000Z,delivered,43.47,USD
59cef52b-01c7-4b2f-9d72-9f5bdc439456,ORD-00068,2026-04-07T09:44:00.000Z,delivered,25.97,USD
b0d19af4-a064-46d1-93e8-39615191adfa,ORD-00019,2026-04-07T18:26:00.000Z,delivered,87.43,USD
660b4b8f-2731-4d65-97d3-630051132e85,ORD-00033,2026-04-08T08:31:00.000Z,delivered,84.93,USD
e95941ff-256d-41d2-9a03-5d1b86d9d517,ORD-00087,2026-04-08T10:38:00.000Z,delivered,21.96,USD
dc7e71f6-4aac-4029-8d78-bae8f20fc460,ORD-00108,2026-04-08T12:14:00.000Z,cancelled,23.97,USD
51cd5e8e-6238-447a-b8f0-d4c73e6d1a38,ORD-00132,2026-04-08T14:40:00.000Z,delivered,25.97,USD
cfcd9289-5b87-4b69-910c-90ac4caead37,ORD-00073,2026-04-08T18:09:00.000Z,delivered,14.97,USD
bf7ef361-a09c-4df5-9d0c-f4c9cac52b87,ORD-00071,2026-04-08T18:42:00.000Z,cancelled,73.95,USD
1f4b239e-56b6-4958-89f9-a14683a264e3,ORD-00055,2026-04-08T20:00:00.000Z,delivered,56.46,USD
b3b2fc49-28ea-409c-a930-52c0231adfd2,ORD-00148,2026-04-08T20:11:00.000Z,delivered,87.91,USD
5fc3e4ec-36cb-4ae0-a881-5939490ff647,ORD-00107,2026-04-09T10:07:00.000Z,delivered,49.95,USD
04f32614-0937-4f24-91eb-b3586e4c42c4,ORD-00053,2026-04-09T14:45:00.000Z,delivered,31.98,USD
75ff30d6-17f4-498a-9d5f-f72973a48dda,ORD-00063,2026-04-09T19:15:00.000Z,delivered,70.94,USD
90f4e7eb-4cd5-4352-bfeb-dc02ade6119b,ORD-00097,2026-04-09T19:24:00.000Z,delivered,82.93,USD
499de55c-4418-4e81-a80a-30b2217beb6f,ORD-00155,2026-04-09T19:53:00.000Z,delivered,11.99,USD
ec77e503-66b4-4302-a925-8453cb648371,ORD-00046,2026-04-09T19:58:00.000Z,delivered,47.94,USD
2d9bc0ee-fd82-4715-8d74-e481439778cd,ORD-00050,2026-04-10T09:34:00.000Z,delivered,39.96,USD
5d2631e2-96c2-4139-ad94-0579517f0a3b,ORD-00137,2026-04-10T10:11:00.000Z,delivered,29.98,USD
dae11d63-b8a5-41c4-9fe3-7d3779e31f02,ORD-00105,2026-04-10T11:19:00.000Z,delivered,19.98,USD
455741c9-b4a1-4aa1-a14f-2890c5d29aff,ORD-00036,2026-04-10T11:42:00.000Z,delivered,62.94,USD
f0353add-9fe1-4284-87d7-511c943b642e,ORD-00052,2026-04-10T16:45:00.000Z,delivered,21.98,USD
a9e398eb-ba6a-4f2b-9582-63fd4cc9dd21,ORD-00184,2026-04-10T17:03:00.000Z,delivered,54.45,USD
c74c4dd8-3a6e-4203-9209-d8919ae9f590,ORD-00114,2026-04-10T18:34:00.000Z,delivered,84.93,USD
fa721aaa-c24b-446e-bbeb-459ac6888907,ORD-00020,2026-04-10T19:07:00.000Z,delivered,70.94,USD
ba033147-c857-4fc1-a780-4cff2e526c59,ORD-00185,2026-04-10T20:05:00.000Z,delivered,40.47,USD
4abea5e6-3d37-44d7-8e9f-8a7813001304,ORD-00032,2026-04-10T20:56:00.000Z,delivered,79.93,USD
e797c02f-f52a-44bb-846a-9005e30395a9,ORD-00030,2026-04-10T21:48:00.000Z,delivered,70.94,USD
34800959-c7eb-4ed1-aa12-4cd3cecc8f64,ORD-00197,2026-04-10T21:49:00.000Z,delivered,79.93,USD
0bc07c77-e002-428e-8b9d-f9cb7e1488de,ORD-00084,2026-04-11T10:14:00.000Z,delivered,61.92,USD
564a97fc-4b93-40a5-af47-767b8ed2fb16,ORD-00093,2026-04-11T13:30:00.000Z,delivered,61.44,USD
1f71a176-4adc-4906-8d9f-1a85965ea658,ORD-00048,2026-04-11T14:26:00.000Z,delivered,10.99,USD
8fb24ffa-fc5a-4e99-b104-321c1e6c56d9,ORD-00139,2026-04-11T17:13:00.000Z,delivered,5.99,USD
